cell_sig	resource_meta	P1: Classical Greek (500–360 BCE)	P2: Late Classical (354–165 BCE)	P3: Hellenistic & Roman (165 BCE – 205 CE)	trajectory	n_periods_observed	net_drift_p1_to_p3
*/*/*/Foreign/Resident/*	Right to citizenship	0	-1	2	0−+	2	2
*/*/*/Foreign/Resident/*	Right to dispose of property	1	0	0	+00	1	-1
*/*/*/Foreign/Resident/*	Right to freedom of movement	-1	0	0	−00	1	1
*/*/*/Foreign/Resident/*	Right to reside in the city	0	-1	0	0−0	1	0
*/*/*/Foreign/Resident/*	Right to retain own earnings	-1	0	0	−00	1	1
*/*/*/Foreign/Resident/*	Right to retain property	-1	0	0	−00	1	1
*/*/*/Native/*/*	Access to public honors	0	0	1	00+	1	1
*/*/*/Native/*/*	Eligibility for public office	0	2	2	0++	2	2
*/*/*/Native/*/*	Political power	0	1	-1	0+−	2	-1
*/*/*/Native/*/*	Protection from capital punishment	0	-1	0	0−0	1	0
*/*/*/Native/*/*	Right to citizenship	0	-1	0	0−0	1	0
*/*/*/Native/*/*	Right to free speech	0	0	1	00+	1	1
*/*/*/Native/*/*	Right to marry	0	0	-1	00−	1	-1
*/*/*/Native/*/*	Right to reside in the city	-1	0	0	−00	1	1
*/*/*/Native/*/*	Right to valid professional opinion	-1	0	0	−00	1	1
*/*/*/Native/*/*	Right to vote in the Ekklesia	0	1	0	0+0	1	0
*/*/*/Native/*/High	Access to public honors	0	1	0	0+0	1	0
*/*/*/Native/*/High	Eligibility for public office	0	1	0	0+0	1	0
*/*/*/Native/*/High	Exemption from compulsory public financing	0	-1	0	0−0	1	0
*/*/*/Native/*/Low	Eligibility for public office	0	-1	0	0−0	1	0
*/*/*/Native/Resident/*	Access to religious rites	0	0	1	00+	1	1
*/*/*/Native/Resident/*	Exemption from taxes	0	0	1	00+	1	1
*/*/*/Native/Resident/*	Protection from arbitrary banishment	-1	0	0	−00	1	1
*/*/*/Native/Resident/*	Right to burial	-1	0	0	−00	1	1
*/*/*/Native/Resident/*	Right to drink wine	0	0	-2	00−	1	-2
*/*/*/Native/Resident/*	Right to reside in the city	1	0	0	+00	1	-1
*/*/Enslaved/*/*/*	Access to religious rites	0	0	-1	00−	1	-1
*/*/Enslaved/*/*/*	Access to the gymnasium	-1	0	0	−00	1	1
*/*/Enslaved/*/*/*	Exemption from manual labor	-1	0	-1	−0−	2	0
*/*/Enslaved/*/*/*	Political power	-1	-3	0	−−0	2	1
*/*/Enslaved/*/*/*	Protection from capital punishment	0	1	0	0+0	1	0
*/*/Enslaved/*/*/*	Protection from corporal punishment	-6	-6	-1	−−−	3	5
*/*/Enslaved/*/*/*	Protection from enslavement	0	-1	-1	0−−	2	-1
*/*/Enslaved/*/*/*	Right to a legal trial	2	1	0	++0	2	-2
*/*/Enslaved/*/*/*	Right to bear arms	0	-1	1	0−+	2	1
*/*/Enslaved/*/*/*	Right to bodily autonomy	0	0	1	00+	1	1
*/*/Enslaved/*/*/*	Right to drink wine	0	0	-2	00−	1	-2
*/*/Enslaved/*/*/*	Right to free speech	-1	-1	0	−−0	2	1
*/*/Enslaved/*/*/*	Right to own property	0	0	0	000	0	0
*/*/Enslaved/*/*/*	Right to retain own earnings	-1	1	2	−++	3	3
*/*/Enslaved/*/*/*	Right to valid professional opinion	0	-2	0	0−0	1	0
*/*/Enslaved/*/*/*	Right to vote in the Ekklesia	0	-1	0	0−0	1	0
*/*/Enslaved/*/*/Low	Protection from enslavement	0	-1	0	0−0	1	0
*/*/Enslaved/Foreign/*/*	Protection from enslavement	0	-2	0	0−0	1	0
*/*/Enslaved/Foreign/*/*	Right to citizenship	1	0	0	+00	1	-1
*/*/Enslaved/Foreign/*/*	Right to own land	0	-1	0	0−0	1	0
*/*/Enslaved/Foreign/Non resident/*	Protection from enslavement	0	0	-1	00−	1	-1
*/*/Free/*/*/*	Eligibility for public office	2	6	0	++0	2	-2
*/*/Free/*/*/*	Exemption from legal audit	-1	-2	0	−−0	2	1
*/*/Free/*/*/*	Exemption from manual labor	0	1	0	0+0	1	0
*/*/Free/*/*/*	Political power	1	3	1	+++	3	0
*/*/Free/*/*/*	Protection from capital punishment	-1	0	0	−00	1	1
*/*/Free/*/*/*	Protection from corporal punishment	1	0	0	+00	1	-1
*/*/Free/*/*/*	Protection from enslavement	-1	2	1	−++	3	2
*/*/Free/*/*/*	Protection from legal prosecution	1	-1	1	+−+	3	0
*/*/Free/*/*/*	Right to a legal trial	4	-1	1	+−+	3	-3
*/*/Free/*/*/*	Right to bodily autonomy	1	0	-1	+0−	2	-2
*/*/Free/*/*/*	Right to citizenship	-1	-1	3	−−+	3	4
*/*/Free/*/*/*	Right to own land	0	0	1	00+	1	1
*/*/Free/*/*/*	Right to own property	0	1	0	0+0	1	0
*/*/Free/*/*/*	Right to remuneration for office	2	4	1	+++	3	-1
*/*/Free/*/*/*	Right to retain own earnings	0	0	1	00+	1	1
*/*/Free/*/*/*	Right to retain property	-2	1	0	−+0	2	2
*/*/Free/*/*/*	Right to vote in the Ekklesia	1	2	1	+++	3	0
*/*/Free/*/*/High	Eligibility for public office	1	0	0	+00	1	-1
*/*/Free/*/*/High	Exemption from compulsory public financing	-1	-2	0	−−0	2	1
*/*/Free/*/*/High	Exemption from manual labor	0	-1	0	0−0	1	0
*/*/Free/*/*/High	Exemption from taxes	0	0	-1	00−	1	-1
*/*/Free/*/*/High	Political power	0	-1	0	0−0	1	0
*/*/Free/*/*/High	Protection from capital punishment	0	-1	0	0−0	1	0
*/*/Free/*/*/High	Right to address the assembly	0	0	-1	00−	1	-1
*/*/Free/*/*/High	Right to inherit property	0	0	1	00+	1	1
*/*/Free/*/*/High	Right to remuneration for office	0	1	0	0+0	1	0
*/*/Free/*/*/High	Right to retain own earnings	0	0	1	00+	1	1
*/*/Free/*/*/High	Right to retain property	-1	0	-1	−0−	2	0
*/*/Free/*/*/Low	Eligibility for public office	0	-1	0	0−0	1	0
*/*/Free/*/*/Low	Exemption from compulsory public financing	0	1	0	0+0	1	0
*/*/Free/*/*/Low	Exemption from manual labor	0	-1	0	0−0	1	0
*/*/Free/*/*/Low	Political power	0	1	0	0+0	1	0
*/*/Free/*/*/Low	Right to retain property	0	0	-1	00−	1	-1
*/*/Free/*/*/Low	Right to vote in the Ekklesia	0	1	0	0+0	1	0
*/*/Free/*/*/Middle	Eligibility for public office	0	1	0	0+0	1	0
*/*/Free/*/*/Middle	Political power	0	0	0	000	0	0
*/*/Free/*/*/Middle	Right to vote in the Ekklesia	0	-1	0	0−0	1	0
*/*/Free/*/Non resident/*	Right to reside in the city	0	-1	0	0−0	1	0
*/*/Free/*/Resident/*	Eligibility for public office	0	0	-1	00−	1	-1
*/*/Free/*/Resident/*	Political power	0	-1	0	0−0	1	0
*/*/Free/*/Resident/*	Right to citizenship	0	1	0	0+0	1	0
*/*/Free/*/Resident/*	Right to freedom of movement	-1	0	0	−00	1	1
*/*/Free/*/Resident/*	Right to reside in the city	1	1	0	++0	2	-1
*/*/Free/*/Resident/*	Right to vote in the Ekklesia	-1	1	1	−++	3	2
*/*/Free/*/Resident/Low	Right to vote in the Ekklesia	0	0	1	00+	1	1
*/*/Free/Foreign/*/*	Political power	0	0	-1	00−	1	-1
*/*/Free/Foreign/*/*	Protection from enslavement	0	0	1	00+	1	1
*/*/Free/Foreign/Resident/*	Exemption from taxes	-1	0	-1	−0−	2	0
*/*/Free/Foreign/Resident/*	Protection from capital punishment	0	1	0	0+0	1	0
*/*/Free/Foreign/Resident/*	Protection from corporal punishment	1	0	0	+00	1	-1
*/*/Free/Foreign/Resident/*	Right to a legal trial	0	0	0	000	0	0
*/*/Free/Foreign/Resident/*	Right to citizenship	0	0	1	00+	1	1
*/*/Free/Foreign/Resident/*	Right to own land	0	0	1	00+	1	1
*/*/Free/Mixed/*/*	Right to vote in the Ekklesia	0	1	0	0+0	1	0
*/*/Free/Native/*/*	Access to public honors	0	1	0	0+0	1	0
*/*/Free/Native/*/*	Access to the gymnasium	0	1	0	0+0	1	0
*/*/Free/Native/*/*	Eligibility for public office	0	-1	3	0−+	2	3
*/*/Free/Native/*/*	Exemption from manual labor	0	0	1	00+	1	1
*/*/Free/Native/*/*	Political power	0	1	1	0++	2	1
*/*/Free/Native/*/*	Protection from capital punishment	-1	-1	0	−−0	2	1
*/*/Free/Native/*/*	Protection from corporal punishment	0	0	1	00+	1	1
*/*/Free/Native/*/*	Protection from enslavement	0	1	0	0+0	1	0
*/*/Free/Native/*/*	Right to a legal trial	2	1	0	++0	2	-2
*/*/Free/Native/*/*	Right to address the assembly	-1	0	0	−00	1	1
*/*/Free/Native/*/*	Right to citizenship	-2	-2	0	−−0	2	2
*/*/Free/Native/*/*	Right to reside in the city	0	-1	0	0−0	1	0
*/*/Free/Native/*/*	Right to retain own earnings	0	-1	0	0−0	1	0
*/*/Free/Native/*/*	Right to retain property	-1	0	0	−00	1	1
*/*/Free/Native/*/*	Right to vote in the Ekklesia	0	-2	1	0−+	2	1
*/*/Free/Native/*/High	Eligibility for public office	0	1	0	0+0	1	0
*/*/Free/Native/*/High	Right to own land	0	-1	0	0−0	1	0
*/*/Free/Native/*/Low	Protection from enslavement	0	0	1	00+	1	1
*/*/Free/Native/Resident/*	Access to religious rites	0	0	-1	00−	1	-1
*/*/Free/Native/Resident/*	Eligibility for public office	0	1	1	0++	2	1
*/*/Free/Native/Resident/*	Political power	0	0	-1	00−	1	-1
*/*/Free/Native/Resident/*	Right to bear arms	0	2	0	0+0	1	0
*/*/Free/Native/Resident/*	Right to free speech	0	1	0	0+0	1	0
*/*/Free/Native/Resident/*	Right to remuneration for office	0	0	1	00+	1	1
*/*/Free/Native/Resident/*	Right to reside in the city	0	1	0	0+0	1	0
*/*/Free/Native/Resident/*	Right to vote in the Ekklesia	1	0	0	+00	1	-1
*/*/Free/Native/Resident/Low	Right to own land	0	0	1	00+	1	1
*/Adult/*/*/*/*	Eligibility for public office	0	0	0	000	0	0
*/Adult/*/*/*/*	Exemption from manual labor	0	0	-1	00−	1	-1
*/Adult/*/*/*/*	Right to bodily autonomy	-1	0	0	−00	1	1
*/Adult/*/*/*/Low	Eligibility for public office	0	-1	0	0−0	1	0
*/Adult/*/Native/*/*	Eligibility for public office	0	-1	0	0−0	1	0
*/Adult/Free/*/*/High	Right to inherit property	0	0	1	00+	1	1
*/Adult/Free/Foreign/*/*	Right to marry	0	-1	0	0−0	1	0
*/Adult/Free/Native/*/*	Right to vote in the Ekklesia	0	1	0	0+0	1	0
*/Elder/*/*/*/*	Access to public honors	0	0	1	00+	1	1
*/Elder/*/*/*/*	Exemption from legal audit	0	1	0	0+0	1	0
*/Elder/*/*/*/*	Exemption from manual labor	0	-1	0	0−0	1	0
*/Elder/*/*/*/*	Right to retain own earnings	-1	0	0	−00	1	1
*/Elder/Free/*/*/*	Eligibility for public office	0	-1	0	0−0	1	0
*/Elder/Free/Native/*/*	Right to speak first in assembly	0	1	0	0+0	1	0
*/Minor/*/*/*/*	Access to public honors	0	2	0	0+0	1	0
*/Minor/*/*/*/*	Access to religious rites	0	0	2	00+	1	2
*/Minor/*/*/*/*	Access to the gymnasium	1	1	0	++0	2	-1
*/Minor/*/*/*/*	Eligibility for public office	-1	0	0	−00	1	1
*/Minor/*/*/*/*	Exemption from taxes	0	1	0	0+0	1	0
*/Minor/*/*/*/*	Protection from capital punishment	0	-1	0	0−0	1	0
*/Minor/*/*/*/*	Protection from corporal punishment	1	0	0	+00	1	-1
*/Minor/*/*/*/*	Protection from legal prosecution	0	2	0	0+0	1	0
*/Minor/*/*/*/*	Right to a legal trial	0	0	-1	00−	1	-1
*/Minor/*/*/*/*	Right to address the assembly	-1	0	0	−00	1	1
*/Minor/*/*/*/*	Right to citizenship	1	0	0	+00	1	-1
*/Minor/Free/*/*/*	Access to public honors	0	-1	0	0−0	1	0
*/Minor/Free/*/*/*	Political power	0	-1	0	0−0	1	0
*/Minor/Free/*/*/*	Protection from corporal punishment	0	-1	0	0−0	1	0
*/Minor/Free/*/*/*	Right to citizenship	0	1	0	0+0	1	0
*/Minor/Free/*/*/*	Right to drink wine	0	0	-1	00−	1	-1
*/Minor/Free/*/*/Low	Protection from capital punishment	1	0	0	+00	1	-1
*/Minor/Free/Native/*/*	Right to citizenship	1	0	0	+00	1	-1
Female/*/*/*/*/*	Access to public honors	0	0	-1	00−	1	-1
Female/*/*/*/*/*	Access to religious rites	1	0	-1	+0−	2	-2
Female/*/*/*/*/*	Access to the gymnasium	0	0	-1	00−	1	-1
Female/*/*/*/*/*	Political power	0	-2	0	0−0	1	0
Female/*/*/*/*/*	Protection from enslavement	0	0	-1	00−	1	-1
Female/*/*/*/*/*	Right to address the assembly	1	0	0	+00	1	-1
Female/*/*/*/*/*	Right to bodily autonomy	0	-1	-2	0−−	2	-2
Female/*/*/*/*/*	Right to citizenship	0	-1	0	0−0	1	0
Female/*/*/*/*/*	Right to drink wine	0	0	-1	00−	1	-1
Female/*/*/*/*/*	Right to retain own earnings	1	0	0	+00	1	-1
Female/*/*/*/*/High	Protection from public libel	0	-1	0	0−0	1	0
Female/*/*/*/*/High	Right to inherit property	0	1	0	0+0	1	0
Female/*/*/*/Resident/*	Right to citizenship	0	-1	0	0−0	1	0
Female/*/*/Foreign/*/*	Right to citizenship	0	-1	0	0−0	1	0
Female/*/*/Native/*/*	Right to bodily autonomy	1	0	0	+00	1	-1
Female/*/Enslaved/*/*/*	Protection from corporal punishment	-2	-1	-1	−−−	3	1
Female/*/Free/*/*/*	Access to public honors	0	0	-1	00−	1	-1
Female/*/Free/*/*/*	Protection from capital punishment	0	0	-1	00−	1	-1
Female/*/Free/*/*/*	Protection from enslavement	0	1	0	0+0	1	0
Female/*/Free/*/*/*	Right to a dowry	2	1	0	++0	2	-2
Female/*/Free/*/*/*	Right to a legal trial	0	0	0	000	0	0
Female/*/Free/*/*/*	Right to bodily autonomy	0	-1	0	0−0	1	0
Female/*/Free/*/*/*	Right to dispose of property	0	0	1	00+	1	1
Female/*/Free/*/*/*	Right to inherit property	0	0	0	000	0	0
Female/*/Free/*/*/*	Right to marry	0	1	-1	0+−	2	-1
Female/*/Free/*/*/*	Right to own property	0	1	0	0+0	1	0
Female/*/Free/*/*/High	Right to bodily autonomy	0	-1	0	0−0	1	0
Female/*/Free/*/*/Low	Right to a dowry	0	1	0	0+0	1	0
Female/*/Free/Native/*/High	Political power	0	0	1	00+	1	1
Female/Adult/*/*/*/*	Right to bodily autonomy	0	0	-1	00−	1	-1
Female/Adult/*/*/*/*	Right to citizenship	0	0	-1	00−	1	-1
Female/Adult/*/*/*/*	Right to freedom of movement	0	0	-1	00−	1	-1
Female/Adult/*/*/*/*	Right to own property	1	0	1	+0+	2	0
Female/Adult/*/*/*/Low	Right to a dowry	0	0	1	00+	1	1
Female/Adult/Free/*/*/*	Access to religious rites	0	-1	-1	0−−	2	-1
Female/Adult/Free/*/*/*	Political power	0	-1	0	0−0	1	0
Female/Adult/Free/*/*/*	Right to a dowry	2	1	0	++0	2	-2
Female/Adult/Free/*/*/*	Right to bodily autonomy	1	1	-3	++−	3	-4
Female/Adult/Free/*/*/*	Right to citizenship	0	0	-1	00−	1	-1
Female/Adult/Free/*/*/*	Right to freedom of movement	-1	0	-1	−0−	2	0
Female/Adult/Free/*/*/*	Right to inherit property	0	0	-1	00−	1	-1
Female/Adult/Free/*/*/*	Right to retain property	2	0	1	+0+	2	-1
Female/Adult/Free/*/*/High	Right to bodily autonomy	0	1	0	0+0	1	0
Female/Adult/Free/*/*/High	Right to retain property	0	0	-1	00−	1	-1
Female/Adult/Free/Native/*/*	Political power	0	0	2	00+	1	2
Female/Adult/Free/Native/*/Low	Right to a dowry	1	0	0	+00	1	-1
Female/Elder/*/*/*/*	Right to retain own earnings	-1	0	0	−00	1	1
Female/Minor/*/*/*/*	Access to education	0	0	1	00+	1	1
Female/Minor/*/*/*/*	Access to the gymnasium	0	0	1	00+	1	1
Male/*/*/*/*/*	Access to public honors	0	-2	0	0−0	1	0
Male/*/*/*/*/*	Access to religious rites	1	-1	1	+−+	3	0
Male/*/*/*/*/*	Access to the gymnasium	0	0	1	00+	1	1
Male/*/*/*/*/*	Eligibility for public office	1	-1	0	+−0	2	-1
Male/*/*/*/*/*	Exemption from manual labor	1	0	0	+00	1	-1
Male/*/*/*/*/*	Political power	1	0	3	+0+	2	2
Male/*/*/*/*/*	Protection from capital punishment	0	1	0	0+0	1	0
Male/*/*/*/*/*	Protection from corporal punishment	0	0	1	00+	1	1
Male/*/*/*/*/*	Protection from enslavement	0	1	1	0++	2	1
Male/*/*/*/*/*	Protection from legal prosecution	-1	0	0	−00	1	1
Male/*/*/*/*/*	Protection from public libel	1	0	0	+00	1	-1
Male/*/*/*/*/*	Right to a legal trial	2	0	0	+00	1	-2
Male/*/*/*/*/*	Right to address the assembly	1	-4	0	+−0	2	-1
Male/*/*/*/*/*	Right to bear arms	0	0	1	00+	1	1
Male/*/*/*/*/*	Right to bodily autonomy	0	1	-1	0+−	2	-1
Male/*/*/*/*/*	Right to burial	0	0	-1	00−	1	-1
Male/*/*/*/*/*	Right to citizenship	2	-1	-1	+−−	3	-3
Male/*/*/*/*/*	Right to dispose of property	0	0	0	000	0	0
Male/*/*/*/*/*	Right to free speech	0	0	0	000	0	0
Male/*/*/*/*/*	Right to inherit property	1	0	0	+00	1	-1
Male/*/*/*/*/*	Right to reside in the city	0	-1	0	0−0	1	0
Male/*/*/*/*/*	Right to retain property	0	-1	0	0−0	1	0
Male/*/*/*/*/*	Right to valid professional opinion	0	1	-1	0+−	2	-1
Male/*/*/*/*/High	Eligibility for public office	1	1	0	++0	2	-1
Male/*/*/*/*/High	Exemption from compulsory public financing	-2	0	0	−00	1	2
Male/*/*/*/*/High	Exemption from military service	1	0	0	+00	1	-1
Male/*/*/*/*/High	Exemption from taxes	-1	0	0	−00	1	1
Male/*/*/*/*/High	Political power	0	1	0	0+0	1	0
Male/*/*/*/*/High	Right to inherit property	1	0	0	+00	1	-1
Male/*/*/*/*/High	Right to retain property	-1	0	0	−00	1	1
Male/*/*/*/*/Low	Right to address the assembly	0	1	0	0+0	1	0
Male/*/*/*/Non resident/*	Protection from arbitrary banishment	0	1	0	0+0	1	0
Male/*/*/*/Non resident/*	Protection from capital punishment	0	1	0	0+0	1	0
Male/*/*/*/Non resident/*	Protection from enslavement	0	1	0	0+0	1	0
Male/*/*/*/Non resident/*	Right to retain property	0	0	1	00+	1	1
Male/*/*/*/Resident/*	Exemption from compulsory public financing	0	0	-1	00−	1	-1
Male/*/*/*/Resident/High	Protection from arbitrary banishment	0	-1	0	0−0	1	0
Male/*/*/Foreign/*/*	Access to public honors	0	1	0	0+0	1	0
Male/*/*/Foreign/*/*	Protection from corporal punishment	1	0	0	+00	1	-1
Male/*/*/Foreign/*/*	Right to citizenship	1	0	0	+00	1	-1
Male/*/Enslaved/*/*/*	Protection from enslavement	-1	0	0	−00	1	1
Male/*/Enslaved/*/*/*	Protection from legal prosecution	1	0	0	+00	1	-1
Male/*/Enslaved/*/*/*	Right to bodily autonomy	0	-1	0	0−0	1	0
Male/*/Enslaved/*/*/*	Right to retain own earnings	0	0	-1	00−	1	-1
Male/*/Enslaved/*/*/*	Right to retain property	1	0	0	+00	1	-1
Male/*/Free/*/*/*	Eligibility for public office	-1	0	0	−00	1	1
Male/*/Free/*/*/*	Political power	1	0	0	+00	1	-1
Male/*/Free/*/*/*	Protection from arbitrary banishment	0	0	-1	00−	1	-1
Male/*/Free/*/*/*	Protection from capital punishment	1	0	0	+00	1	-1
Male/*/Free/*/*/*	Protection from corporal punishment	1	0	0	+00	1	-1
Male/*/Free/*/*/*	Right to adopt	2	0	0	+00	1	-2
Male/*/Free/*/*/*	Right to citizenship	-1	-1	0	−−0	2	1
Male/*/Free/*/*/*	Right to dispose of property	0	-1	0	0−0	1	0
