cell_sig	resource_meta	P1: Classical Greek (500–360 BCE)	P2: Late Classical (354–165 BCE)	P3: Hellenistic & Roman (165 BCE – 205 CE)	trajectory	n_periods_observed	net_drift_p1_to_p3
*/*/Enslaved/Native/Resident/Low	Exemption from manual labor	0	0	-1	00−	1	-1
*/*/Enslaved/Native/Resident/Low	Political power	0	-1	0	0−0	1	0
*/*/Enslaved/Native/Resident/Low	Protection from corporal punishment	0	0	-2	00−	1	-2
*/*/Enslaved/Native/Resident/Low	Right to retain own earnings	0	0	1	00+	1	1
*/*/Free/*/*/*	Exemption from compulsory public financing	0	0	-1	00−	1	-1
*/*/Free/*/*/*	Exemption from manual labor	0	1	0	0+0	1	0
*/*/Free/*/*/*	Protection from legal prosecution	0	0	-1	00−	1	-1
*/*/Free/*/*/*	Protection from public libel	0	0	1	00+	1	1
*/*/Free/*/*/*	Right to retain own earnings	0	0	1	00+	1	1
*/*/Free/*/*/High	Right to a dowry	0	0	1	00+	1	1
*/*/Free/*/Resident/*	Access to religious rites	-1	0	0	−00	1	1
*/*/Free/*/Resident/*	Political power	0	1	0	0+0	1	0
*/*/Free/*/Resident/*	Protection from enslavement	0	0	1	00+	1	1
*/*/Free/*/Resident/*	Right to a legal trial	0	1	0	0+0	1	0
*/*/Free/*/Resident/*	Right to address the assembly	-1	0	0	−00	1	1
*/*/Free/*/Resident/*	Right to bodily autonomy	1	0	0	+00	1	-1
*/*/Free/*/Resident/*	Right to citizenship	-1	0	0	−00	1	1
*/*/Free/*/Resident/*	Right to freedom of movement	0	-1	0	0−0	1	0
*/*/Free/*/Resident/*	Right to inherit property	0	-1	0	0−0	1	0
*/*/Free/*/Resident/*	Right to vote in the Ekklesia	0	1	0	0+0	1	0
*/*/Free/*/Resident/High	Right to a legal trial	0	-1	0	0−0	1	0
*/*/Free/*/Resident/High	Right to dispose of property	-1	0	0	−00	1	1
*/*/Free/*/Resident/High	Right to inherit property	0	1	0	0+0	1	0
*/*/Free/*/Resident/High	Right to remuneration for office	0	1	0	0+0	1	0
*/*/Free/*/Resident/High	Right to retain property	-1	-2	0	−−0	2	1
*/*/Free/*/Resident/Low	Access to public honors	0	-1	0	0−0	1	0
*/*/Free/*/Resident/Low	Eligibility for public office	1	0	0	+00	1	-1
*/*/Free/*/Resident/Low	Exemption from compulsory public financing	0	1	0	0+0	1	0
*/*/Free/*/Resident/Low	Exemption from manual labor	0	-1	0	0−0	1	0
*/*/Free/*/Resident/Low	Exemption from public service financing	0	1	0	0+0	1	0
*/*/Free/*/Resident/Low	Political power	0	1	0	0+0	1	0
*/*/Free/*/Resident/Low	Protection from corporal punishment	0	1	0	0+0	1	0
*/*/Free/*/Resident/Low	Protection from enslavement	0	0	1	00+	1	1
*/*/Free/*/Resident/Low	Right to a legal trial	0	0	-1	00−	1	-1
*/*/Free/*/Resident/Low	Right to address the assembly	1	0	0	+00	1	-1
*/*/Free/*/Resident/Low	Right to bear arms	0	-1	0	0−0	1	0
*/*/Free/*/Resident/Low	Right to citizenship	-1	-1	0	−−0	2	1
*/*/Free/*/Resident/Low	Right to own land	0	0	1	00+	1	1
*/*/Free/*/Resident/Low	Right to own property	0	1	0	0+0	1	0
*/*/Free/*/Resident/Low	Right to remuneration for office	0	2	0	0+0	1	0
*/*/Free/*/Resident/Low	Right to retain own earnings	0	1	0	0+0	1	0
*/*/Free/*/Resident/Low	Right to retain property	0	0	-1	00−	1	-1
*/*/Free/*/Resident/Low	Right to vote in the Ekklesia	0	0	0	000	0	0
*/*/Free/Foreign/*/*	Access to public honors	0	2	0	0+0	1	0
*/*/Free/Foreign/*/*	Eligibility for public office	1	0	0	+00	1	-1
*/*/Free/Foreign/*/*	Exemption from taxes	0	1	0	0+0	1	0
*/*/Free/Foreign/*/*	Protection from enslavement	-1	0	0	−00	1	1
*/*/Free/Foreign/*/*	Right to a legal trial	-1	1	0	−+0	2	1
*/*/Free/Foreign/*/*	Right to citizenship	1	0	0	+00	1	-1
*/*/Free/Foreign/*/*	Right to reside in the city	0	0	-1	00−	1	-1
*/*/Free/Foreign/*/*	Right to retain own earnings	0	1	0	0+0	1	0
*/*/Free/Foreign/*/*	Right to retain property	-1	0	0	−00	1	1
*/*/Free/Foreign/*/*	Right to vote in the Ekklesia	0	1	0	0+0	1	0
*/*/Free/Foreign/Non resident/*	Right to a legal trial	-1	0	0	−00	1	1
*/*/Free/Foreign/Non resident/*	Right to dispose of property	-1	0	0	−00	1	1
*/*/Free/Foreign/Resident/*	Access to religious rites	0	0	-1	00−	1	-1
*/*/Free/Foreign/Resident/*	Eligibility for public office	0	0	1	00+	1	1
*/*/Free/Foreign/Resident/*	Exemption from taxes	0	-1	0	0−0	1	0
*/*/Free/Foreign/Resident/*	Political power	-1	0	0	−00	1	1
*/*/Free/Foreign/Resident/*	Protection from corporal punishment	1	0	0	+00	1	-1
*/*/Free/Foreign/Resident/*	Protection from enslavement	0	-1	0	0−0	1	0
*/*/Free/Foreign/Resident/*	Right to a legal trial	-1	0	0	−00	1	1
*/*/Free/Foreign/Resident/*	Right to citizenship	0	-4	4	0−+	2	4
*/*/Free/Foreign/Resident/*	Right to marry	0	-1	0	0−0	1	0
*/*/Free/Foreign/Resident/*	Right to own land	0	0	-2	00−	1	-2
*/*/Free/Foreign/Resident/*	Right to own property	-1	0	0	−00	1	1
*/*/Free/Foreign/Resident/*	Right to reside in the city	0	-2	0	0−0	1	0
*/*/Free/Foreign/Resident/*	Right to retain own earnings	-1	0	0	−00	1	1
*/*/Free/Foreign/Resident/*	Right to retain property	-1	0	-1	−0−	2	0
*/*/Free/Mixed/Resident/*	Eligibility for public office	0	-1	0	0−0	1	0
*/*/Free/Mixed/Resident/*	Right to citizenship	-1	-1	0	−−0	2	1
*/*/Free/Mixed/Resident/*	Right to vote in the Ekklesia	0	-2	0	0−0	1	0
*/*/Free/Native/*/*	Right to citizenship	1	0	0	+00	1	-1
*/*/Free/Native/*/*	Right to inherit property	1	0	1	+0+	2	0
*/*/Free/Native/*/*	Right to marry	0	0	-1	00−	1	-1
*/*/Free/Native/*/*	Right to retain own earnings	-1	0	0	−00	1	1
*/*/Free/Native/Non resident/*	Protection from arbitrary banishment	0	1	0	0+0	1	0
*/*/Free/Native/Non resident/*	Protection from capital punishment	0	1	0	0+0	1	0
*/*/Free/Native/Non resident/*	Protection from enslavement	0	2	0	0+0	1	0
*/*/Free/Native/Non resident/*	Right to retain property	1	0	0	+00	1	-1
*/*/Free/Native/Resident/*	Access to public honors	0	0	1	00+	1	1
*/*/Free/Native/Resident/*	Access to the gymnasium	0	0	-1	00−	1	-1
*/*/Free/Native/Resident/*	Eligibility for public office	0	1	2	0++	2	2
*/*/Free/Native/Resident/*	Protection from capital punishment	1	-1	0	+−0	2	-1
*/*/Free/Native/Resident/*	Protection from enslavement	0	1	-1	0+−	2	-1
*/*/Free/Native/Resident/*	Right to a legal trial	0	2	1	0++	2	1
*/*/Free/Native/Resident/*	Right to address the assembly	0	-1	0	0−0	1	0
*/*/Free/Native/Resident/*	Right to bear arms	0	0	0	000	0	0
*/*/Free/Native/Resident/*	Right to citizenship	0	-1	0	0−0	1	0
*/*/Free/Native/Resident/*	Right to freedom of movement	0	0	-1	00−	1	-1
*/*/Free/Native/Resident/*	Right to remuneration for office	0	0	1	00+	1	1
*/*/Free/Native/Resident/*	Right to reside in the city	0	-1	0	0−0	1	0
*/*/Free/Native/Resident/*	Right to retain own earnings	0	-1	0	0−0	1	0
*/*/Free/Native/Resident/High	Access to public honors	0	1	0	0+0	1	0
*/*/Free/Native/Resident/High	Eligibility for public office	0	1	1	0++	2	1
*/*/Free/Native/Resident/High	Political power	0	1	1	0++	2	1
*/*/Free/Native/Resident/High	Protection from arbitrary banishment	0	0	-1	00−	1	-1
*/*/Free/Native/Resident/High	Right to dispose of property	0	0	1	00+	1	1
*/*/Free/Native/Resident/Low	Eligibility for public office	0	1	0	0+0	1	0
*/Adult/*/*/*/*	Right to citizenship	0	0	-1	00−	1	-1
*/Adult/*/*/*/Low	Right to retain own earnings	0	0	1	00+	1	1
*/Adult/*/*/Resident/*	Access to public honors	0	0	1	00+	1	1
*/Adult/*/*/Resident/*	Protection from capital punishment	0	-1	0	0−0	1	0
*/Adult/*/*/Resident/*	Right to freedom of movement	0	-1	0	0−0	1	0
*/Adult/*/*/Resident/Low	Access to religious rites	0	1	0	0+0	1	0
*/Adult/*/*/Resident/Low	Exemption from manual labor	0	0	-1	00−	1	-1
*/Adult/*/*/Resident/Low	Right to valid professional opinion	0	0	-1	00−	1	-1
*/Adult/*/*/Resident/Middle	Exemption from manual labor	0	0	-1	00−	1	-1
*/Adult/Free/*/*/*	Right to bodily autonomy	0	0	-1	00−	1	-1
*/Adult/Free/*/*/High	Eligibility for public office	2	2	0	++0	2	-2
*/Adult/Free/*/*/High	Exemption from compulsory public financing	0	0	-1	00−	1	-1
*/Adult/Free/*/*/High	Exemption from manual labor	0	1	0	0+0	1	0
*/Adult/Free/*/*/High	Exemption from taxes	0	0	-2	00−	1	-2
*/Adult/Free/*/*/High	Right to a legal trial	0	1	0	0+0	1	0
*/Adult/Free/*/*/High	Right to address the assembly	0	0	-1	00−	1	-1
*/Adult/Free/*/*/High	Right to retain property	0	-1	-2	0−−	2	-2
*/Adult/Free/*/*/Middle	Eligibility for public office	0	-1	0	0−0	1	0
*/Adult/Free/*/*/Middle	Right to own property	0	1	0	0+0	1	0
*/Adult/Free/*/*/Middle	Right to retain property	0	1	0	0+0	1	0
*/Adult/Free/*/Resident/*	Access to public honors	0	0	1	00+	1	1
*/Adult/Free/*/Resident/*	Exemption from military service	1	0	0	+00	1	-1
*/Adult/Free/*/Resident/*	Right to citizenship	-1	0	0	−00	1	1
*/Adult/Free/*/Resident/*	Right to professional judgement	1	0	0	+00	1	-1
*/Adult/Free/*/Resident/*	Right to reside in the city	0	0	-1	00−	1	-1
*/Adult/Free/*/Resident/*	Right to retain own earnings	2	0	0	+00	1	-2
*/Adult/Free/*/Resident/*	Right to retain property	0	0	1	00+	1	1
*/Adult/Free/*/Resident/High	Access to public honors	0	1	0	0+0	1	0
*/Adult/Free/*/Resident/High	Access to the gymnasium	1	0	0	+00	1	-1
*/Adult/Free/*/Resident/High	Eligibility for public office	0	3	1	0++	2	1
*/Adult/Free/*/Resident/High	Exemption from compulsory public financing	-7	-5	-1	−−−	3	6
*/Adult/Free/*/Resident/High	Exemption from manual labor	0	1	0	0+0	1	0
*/Adult/Free/*/Resident/High	Exemption from taxes	-1	-5	0	−−0	2	1
*/Adult/Free/*/Resident/High	Political power	1	1	0	++0	2	-1
*/Adult/Free/*/Resident/High	Protection from capital punishment	1	0	-1	+0−	2	-2
*/Adult/Free/*/Resident/High	Protection from public libel	-1	0	0	−00	1	1
*/Adult/Free/*/Resident/High	Right to citizenship	1	0	0	+00	1	-1
*/Adult/Free/*/Resident/High	Right to inherit property	0	-1	0	0−0	1	0
*/Adult/Free/*/Resident/High	Right to own land	0	-1	-1	0−−	2	-1
*/Adult/Free/*/Resident/High	Right to retain own earnings	-2	-1	0	−−0	2	2
*/Adult/Free/*/Resident/High	Right to retain property	-3	0	1	−0+	2	4
*/Adult/Free/*/Resident/Low	Eligibility for public office	0	-6	1	0−+	2	1
*/Adult/Free/*/Resident/Low	Political power	0	-2	0	0−0	1	0
*/Adult/Free/*/Resident/Low	Protection from legal prosecution	0	0	1	00+	1	1
*/Adult/Free/*/Resident/Middle	Eligibility for public office	0	0	0	000	0	0
*/Adult/Free/*/Resident/Middle	Exemption from military service	2	0	0	+00	1	-2
*/Adult/Free/*/Resident/Middle	Right to a legal trial	0	1	0	0+0	1	0
*/Adult/Free/Foreign/Resident/*	Eligibility for public office	-1	0	-1	−0−	2	0
*/Adult/Free/Foreign/Resident/*	Exemption from taxes	-1	0	-1	−0−	2	0
*/Adult/Free/Foreign/Resident/*	Political power	0	0	-2	00−	1	-2
*/Adult/Free/Foreign/Resident/*	Protection from capital punishment	0	1	0	0+0	1	0
*/Adult/Free/Foreign/Resident/*	Right to a legal trial	0	0	0	000	0	0
*/Adult/Free/Foreign/Resident/*	Right to address the assembly	0	0	-1	00−	1	-1
*/Adult/Free/Foreign/Resident/*	Right to citizenship	0	0	1	00+	1	1
*/Adult/Free/Foreign/Resident/*	Right to dispose of property	1	0	0	+00	1	-1
*/Adult/Free/Foreign/Resident/*	Right to freedom of movement	-1	0	0	−00	1	1
*/Adult/Free/Foreign/Resident/*	Right to own land	0	-1	0	0−0	1	0
*/Adult/Free/Native/*/High	Eligibility for public office	0	0	2	00+	1	2
*/Adult/Free/Native/*/High	Protection from corporal punishment	0	0	1	00+	1	1
*/Adult/Free/Native/Resident/*	Access to religious rites	1	0	0	+00	1	-1
*/Adult/Free/Native/Resident/*	Exemption from legal audit	0	-1	0	0−0	1	0
*/Adult/Free/Native/Resident/High	Eligibility for public office	0	0	1	00+	1	1
*/Adult/Free/Native/Resident/Low	Access to religious rites	0	1	0	0+0	1	0
*/Adult/Free/Native/Resident/Low	Access to the gymnasium	0	1	0	0+0	1	0
*/Adult/Free/Native/Resident/Low	Eligibility for public office	0	0	1	00+	1	1
*/Adult/Free/Native/Resident/Low	Political power	0	1	0	0+0	1	0
*/Adult/Free/Native/Resident/Low	Protection from enslavement	0	-1	0	0−0	1	0
*/Adult/Free/Native/Resident/Low	Right to bear arms	0	-1	0	0−0	1	0
*/Adult/Free/Native/Resident/Low	Right to reside in the city	0	-1	0	0−0	1	0
*/Adult/Free/Native/Resident/Low	Right to vote in the Ekklesia	0	0	1	00+	1	1
*/Adult/Free/Native/Resident/Middle	Eligibility for public office	0	-1	0	0−0	1	0
*/Adult/Free/Native/Resident/Middle	Political power	0	1	0	0+0	1	0
*/Elder/*/*/*/*	Access to public honors	0	0	1	00+	1	1
*/Elder/*/*/*/*	Right to speak first in assembly	0	1	0	0+0	1	0
*/Minor/*/*/*/*	Access to education	0	0	1	00+	1	1
*/Minor/*/*/*/*	Access to religious rites	0	0	1	00+	1	1
*/Minor/*/*/*/*	Access to the gymnasium	0	0	1	00+	1	1
*/Minor/*/*/*/*	Eligibility for public office	0	0	-2	00−	1	-2
*/Minor/*/*/Resident/*	Protection from capital punishment	0	-1	0	0−0	1	0
*/Minor/Enslaved/*/Resident/Low	Protection from enslavement	-1	0	0	−00	1	1
*/Minor/Free/*/Resident/*	Access to the gymnasium	1	0	0	+00	1	-1
*/Minor/Free/*/Resident/*	Eligibility for public office	0	-1	0	0−0	1	0
*/Minor/Free/*/Resident/*	Protection from corporal punishment	0	0	-1	00−	1	-1
*/Minor/Free/*/Resident/*	Right to a legal trial	0	0	-1	00−	1	-1
*/Minor/Free/*/Resident/*	Right to drink wine	0	0	-1	00−	1	-1
*/Minor/Free/Native/Resident/*	Access to public honors	0	1	0	0+0	1	0
*/Minor/Free/Native/Resident/*	Access to religious rites	0	0	1	00+	1	1
*/Minor/Free/Native/Resident/*	Access to the gymnasium	0	1	0	0+0	1	0
*/Minor/Free/Native/Resident/*	Eligibility for public office	-1	-2	0	−−0	2	1
*/Minor/Free/Native/Resident/*	Exemption from taxes	0	2	0	0+0	1	0
*/Minor/Free/Native/Resident/*	Political power	0	-1	0	0−0	1	0
*/Minor/Free/Native/Resident/*	Protection from capital punishment	1	0	0	+00	1	-1
*/Minor/Free/Native/Resident/*	Protection from corporal punishment	1	-1	0	+−0	2	-1
*/Minor/Free/Native/Resident/*	Protection from legal prosecution	0	2	0	0+0	1	0
*/Minor/Free/Native/Resident/*	Right to address the assembly	-1	0	0	−00	1	1
*/Minor/Free/Native/Resident/*	Right to bodily autonomy	-1	-1	0	−−0	2	1
*/Minor/Free/Native/Resident/*	Right to citizenship	0	1	0	0+0	1	0
*/Minor/Free/Native/Resident/*	Right to freedom of movement	-1	0	0	−00	1	1
*/Minor/Free/Native/Resident/Low	Right to bear arms	0	1	0	0+0	1	0
Female/*/*/*/*/*	Access to religious rites	0	0	-1	00−	1	-1
Female/*/*/*/*/*	Protection from enslavement	0	0	-1	00−	1	-1
Female/*/*/*/*/*	Right to bodily autonomy	0	0	-1	00−	1	-1
Female/*/*/*/*/*	Right to freedom of movement	0	0	-1	00−	1	-1
Female/*/*/*/*/*	Right to own property	0	0	1	00+	1	1
Female/*/*/*/*/*	Right to retain property	0	0	-1	00−	1	-1
Female/*/*/*/Resident/*	Access to religious rites	1	0	0	+00	1	-1
Female/*/*/*/Resident/*	Access to the gymnasium	0	0	-1	00−	1	-1
Female/*/*/*/Resident/*	Eligibility for public office	-1	0	0	−00	1	1
Female/*/*/*/Resident/*	Political power	0	-3	0	0−0	1	0
Female/*/*/*/Resident/*	Protection from legal prosecution	-1	0	0	−00	1	1
Female/*/*/*/Resident/*	Protection from public libel	0	-1	0	0−0	1	0
Female/*/*/*/Resident/*	Right to a dowry	4	2	0	++0	2	-4
Female/*/*/*/Resident/*	Right to a legal trial	0	-1	0	0−0	1	0
Female/*/*/*/Resident/*	Right to address the assembly	1	0	0	+00	1	-1
Female/*/*/*/Resident/*	Right to bodily autonomy	2	-1	0	+−0	2	-2
Female/*/*/*/Resident/*	Right to freedom of movement	-1	0	0	−00	1	1
Female/*/*/*/Resident/*	Right to inherit property	0	-1	0	0−0	1	0
Female/*/*/*/Resident/*	Right to own property	0	1	0	0+0	1	0
Female/*/*/*/Resident/*	Right to retain own earnings	0	0	0	000	0	0
Female/*/*/*/Resident/*	Right to retain property	2	0	1	+0+	2	-1
Female/*/Free/*/Resident/*	Access to public honors	0	0	-1	00−	1	-1
Female/*/Free/*/Resident/*	Right to dispose of property	0	-1	0	0−0	1	0
Female/*/Free/*/Resident/*	Right to drink wine	0	0	-1	00−	1	-1
Female/*/Free/Native/Resident/*	Access to religious rites	0	-1	0	0−0	1	0
Female/*/Free/Native/Resident/*	Access to the gymnasium	0	0	1	00+	1	1
Female/*/Free/Native/Resident/*	Political power	0	0	3	00+	1	3
Female/*/Free/Native/Resident/*	Right to a dowry	1	0	1	+0+	2	0
Female/*/Free/Native/Resident/*	Right to bodily autonomy	0	0	-1	00−	1	-1
Female/*/Free/Native/Resident/*	Right to freedom of movement	0	0	-1	00−	1	-1
Female/*/Free/Native/Resident/*	Right to inherit property	0	1	0	0+0	1	0
Female/*/Free/Native/Resident/High	Right to a legal trial	0	1	0	0+0	1	0
Female/Adult/*/*/*/*	Access to public honors	0	0	-1	00−	1	-1
Female/Adult/*/*/*/*	Right to citizenship	0	0	-2	00−	1	-2
Female/Adult/*/*/*/*	Right to own property	1	0	0	+00	1	-1
Female/Adult/*/*/Resident/Low	Right to bodily autonomy	0	0	-1	00−	1	-1
Female/Adult/Free/*/*/*	Access to religious rites	0	0	-1	00−	1	-1
Female/Adult/Free/*/*/*	Right to bodily autonomy	0	0	-2	00−	1	-2
Female/Adult/Free/*/Resident/*	Right to a dowry	0	1	0	0+0	1	0
Female/Adult/Free/*/Resident/*	Right to bodily autonomy	0	0	-1	00−	1	-1
Female/Adult/Free/*/Resident/*	Right to inherit property	0	0	-1	00−	1	-1
Female/Adult/Free/*/Resident/*	Right to retain property	1	0	0	+00	1	-1
Female/Adult/Free/*/Resident/High	Right to bodily autonomy	0	1	0	0+0	1	0
Female/Adult/Free/Native/Resident/*	Right to bodily autonomy	0	1	0	0+0	1	0
Female/Adult/Free/Native/Resident/*	Right to inherit property	0	1	0	0+0	1	0
Female/Adult/Free/Native/Resident/High	Right to marry	0	1	0	0+0	1	0
Male/*/*/*/*/*	Access to religious rites	0	0	1	00+	1	1
Male/*/Free/*/Resident/*	Political power	1	0	0	+00	1	-1
Male/*/Free/*/Resident/*	Right to inherit property	3	0	0	+00	1	-3
Male/*/Free/Native/*/*	Protection from enslavement	0	0	1	00+	1	1
Male/*/Free/Native/*/*	Right to inherit property	1	0	0	+00	1	-1
Male/*/Free/Native/Resident/*	Eligibility for public office	0	-1	0	0−0	1	0
Male/*/Free/Native/Resident/*	Exemption from manual labor	0	0	1	00+	1	1
Male/*/Free/Native/Resident/*	Right to inherit property	3	0	0	+00	1	-3
Male/*/Free/Native/Resident/*	Right to own property	0	0	-1	00−	1	-1
Male/*/Free/Native/Resident/High	Eligibility for public office	0	0	3	00+	1	3
Male/Adult/*/*/*/*	Access to religious rites	0	-1	0	0−0	1	0
Male/Adult/*/*/*/*	Eligibility for public office	1	-1	0	+−0	2	-1
Male/Adult/*/*/*/*	Exemption from legal audit	0	1	0	0+0	1	0
Male/Adult/*/*/*/*	Political power	1	-1	1	+−+	3	0
Male/Adult/*/*/*/*	Right to address the assembly	0	-1	0	0−0	1	0
Male/Adult/*/*/*/*	Right to bodily autonomy	-1	0	-1	−0−	2	0
Male/Adult/*/*/*/*	Right to citizenship	1	-1	0	+−0	2	-1
Male/Adult/*/*/*/Low	Protection from corporal punishment	0	-1	0	0−0	1	0
Male/Adult/*/*/Resident/Low	Right to citizenship	0	-1	0	0−0	1	0
Male/Adult/Enslaved/Foreign/Resident/Low	Political power	1	0	0	+00	1	-1
Male/Adult/Free/*/*/*	Access to the gymnasium	0	0	1	00+	1	1
Male/Adult/Free/*/*/*	Protection from enslavement	0	0	1	00+	1	1
Male/Adult/Free/*/*/*	Right to citizenship	1	0	0	+00	1	-1
Male/Adult/Free/*/*/*	Right to retain own earnings	0	0	1	00+	1	1
Male/Adult/Free/*/Resident/*	Eligibility for public office	0	1	0	0+0	1	0
Male/Adult/Free/*/Resident/*	Exemption from manual labor	1	0	0	+00	1	-1
Male/Adult/Free/*/Resident/*	Political power	1	0	1	+0+	2	0
Male/Adult/Free/*/Resident/*	Protection from corporal punishment	1	0	1	+0+	2	0
Male/Adult/Free/*/Resident/*	Protection from public libel	0	1	0	0+0	1	0
Male/Adult/Free/*/Resident/*	Right to a legal trial	0	-1	1	0−+	2	1
Male/Adult/Free/*/Resident/*	Right to burial	0	0	-1	00−	1	-1
Male/Adult/Free/*/Resident/*	Right to dispose of property	1	0	0	+00	1	-1
Male/Adult/Free/*/Resident/*	Right to freedom of movement	0	0	1	00+	1	1
Male/Adult/Free/*/Resident/*	Right to reside in the city	0	0	1	00+	1	1
Male/Adult/Free/*/Resident/*	Right to retain property	0	1	0	0+0	1	0
Male/Adult/Free/*/Resident/*	Right to valid professional opinion	0	1	0	0+0	1	0
Male/Adult/Free/*/Resident/Low	Access to religious rites	1	0	0	+00	1	-1
Male/Adult/Free/*/Resident/Middle	Right to retain own earnings	1	0	1	+0+	2	0
Male/Adult/Free/*/Resident/Middle	Right to retain property	-1	0	0	−00	1	1
Male/Adult/Free/*/Resident/Middle	Right to valid professional opinion	1	0	0	+00	1	-1
Male/Adult/Free/Foreign/*/*	Protection from enslavement	0	0	1	00+	1	1
Male/Adult/Free/Foreign/Resident/*	Right to vote in the Ekklesia	0	0	1	00+	1	1
Male/Adult/Free/Foreign/Resident/Middle	Right to retain own earnings	1	0	0	+00	1	-1
Male/Adult/Free/Mixed/*/*	Political power	0	0	-1	00−	1	-1
Male/Adult/Free/Mixed/*/*	Right to inherit property	0	0	1	00+	1	1
Male/Adult/Free/Mixed/*/*	Right to vote in the Ekklesia	0	0	1	00+	1	1
