cell_sig	resource_meta	MORE	LESS	net	essential_axes	essential_axes_list	c_sex	c_age	c_ownership_status	c_ancestry	c_residence	c_wealth	period3
Male/*/Free/*/*/*	Right to inherit property	5	0	5	4	c_sex, c_ancestry, c_residence, c_wealth	male	unspecified	free	unspecified	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
*/*/Free/*/*/*	Right to a legal trial	4	0	4	4	c_sex, c_age, c_residence, c_wealth	unspecified	unspecified	free	unspecified	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
*/*/Free/*/*/*	Eligibility for public office	2	0	2	4	c_sex, c_age, c_ancestry, c_residence	unspecified	unspecified	free	unspecified	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/*	Access to the gymnasium	1	0	1	4	c_sex, c_ownership_status, c_ancestry, c_residence	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/*	Protection from legal prosecution	3	2	1	4	c_sex, c_age, c_ancestry, c_wealth	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
*/*/Enslaved/*/*/*	Right to a legal trial	1	0	1	4	c_age, c_ancestry, c_residence, c_wealth	unspecified	unspecified	enslaved	unspecified	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
*/*/Free/*/*/*	Political power	1	0	1	4	c_age, c_ancestry, c_residence, c_wealth	unspecified	unspecified	free	unspecified	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
*/Minor/*/*/*/*	Access to the gymnasium	1	0	1	4	c_ownership_status, c_ancestry, c_residence, c_wealth	unspecified	minor	unspecified	unspecified	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
Male/*/Free/*/*/High	Eligibility for public office	1	0	1	4	c_age, c_ancestry, c_residence, c_wealth	male	unspecified	free	unspecified	unspecified	high	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/*	Right to a legal trial	12	0	12	3	c_age, c_ancestry, c_wealth	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/High	Eligibility for public office	1	0	1	3	c_age, c_ancestry, c_residence	unspecified	unspecified	unspecified	unspecified	unspecified	high	P1: Classical Greek (500–360 BCE)
*/*/Free/*/*/High	Eligibility for public office	1	0	1	3	c_age, c_ancestry, c_residence	unspecified	unspecified	free	unspecified	unspecified	high	P1: Classical Greek (500–360 BCE)
Male/*/*/*/*/*	Eligibility for public office	1	0	1	3	c_ownership_status, c_ancestry, c_residence	male	unspecified	unspecified	unspecified	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
Male/*/*/*/*/*	Political power	1	0	1	3	c_ancestry, c_residence, c_wealth	male	unspecified	unspecified	unspecified	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
Male/*/*/*/*/*	Right to inherit property	1	0	1	3	c_age, c_ancestry, c_residence	male	unspecified	unspecified	unspecified	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
Male/*/*/*/*/High	Eligibility for public office	1	0	1	3	c_age, c_ancestry, c_residence	male	unspecified	unspecified	unspecified	unspecified	high	P1: Classical Greek (500–360 BCE)
Male/*/Free/*/*/*	Political power	1	0	1	3	c_ancestry, c_residence, c_wealth	male	unspecified	free	unspecified	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/*	Eligibility for public office	6	0	6	2	c_age, c_residence	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/*	Political power	4	3	1	2	c_age, c_residence	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	P1: Classical Greek (500–360 BCE)
*/*/Free/Native/Resident/*	Right to bear arms	2	0	2	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	unspecified	unspecified	free	native	resident	unspecified	P2: Late Classical (354–165 BCE)
*/Minor/*/*/*/*	Access to public honors	2	0	2	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	unspecified	minor	unspecified	unspecified	unspecified	unspecified	P2: Late Classical (354–165 BCE)
*/Minor/*/*/*/*	Protection from legal prosecution	2	0	2	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	unspecified	minor	unspecified	unspecified	unspecified	unspecified	P2: Late Classical (354–165 BCE)
*/*/*/*/*/*	Protection from corporal punishment	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	any	any	any	unspecified	unspecified	unspecified	P2: Late Classical (354–165 BCE)
*/*/*/*/*/*	Right to retain own earnings	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	any	any	any	unspecified	unspecified	unspecified	P2: Late Classical (354–165 BCE)
*/*/*/*/*/*	Access to the gymnasium	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	unspecified	unspecified	any	any	unspecified	unspecified	P2: Late Classical (354–165 BCE)
*/*/*/*/*/*	Protection from corporal punishment	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	P2: Late Classical (354–165 BCE)
*/*/*/*/*/*	Right to freedom of movement	2	1	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	P2: Late Classical (354–165 BCE)
*/*/*/*/*/High	Right to retain property	2	1	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	unspecified	unspecified	unspecified	unspecified	unspecified	high	P2: Late Classical (354–165 BCE)
*/*/*/*/*/Low	Right to vote in the Ekklesia	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	unspecified	any	unspecified	unspecified	unspecified	low	P2: Late Classical (354–165 BCE)
*/*/*/*/*/Low	Access to religious rites	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	unspecified	unspecified	unspecified	unspecified	unspecified	low	P2: Late Classical (354–165 BCE)
*/*/*/*/*/Low	Exemption from public service financing	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	unspecified	unspecified	unspecified	unspecified	unspecified	low	P2: Late Classical (354–165 BCE)
*/*/*/*/*/Low	Right to own property	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	unspecified	unspecified	unspecified	unspecified	unspecified	low	P2: Late Classical (354–165 BCE)
*/*/*/*/*/Low	Right to retain own earnings	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	unspecified	unspecified	unspecified	unspecified	unspecified	low	P2: Late Classical (354–165 BCE)
*/*/*/Foreign/*/*	Right to inherit property	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	unspecified	unspecified	unspecified	foreign	unspecified	unspecified	P2: Late Classical (354–165 BCE)
*/*/*/Foreign/*/*	Right to own property	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	unspecified	unspecified	unspecified	foreign	unspecified	unspecified	P2: Late Classical (354–165 BCE)
*/*/*/Foreign/*/*	Right to retain own earnings	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	unspecified	unspecified	unspecified	foreign	unspecified	unspecified	P2: Late Classical (354–165 BCE)
*/*/*/Native/*/High	Access to public honors	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	unspecified	unspecified	unspecified	native	unspecified	high	P2: Late Classical (354–165 BCE)
*/*/Enslaved/*/*/*	Protection from capital punishment	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	unspecified	unspecified	enslaved	unspecified	unspecified	unspecified	P2: Late Classical (354–165 BCE)
*/*/Enslaved/*/*/*	Right to retain own earnings	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	unspecified	unspecified	enslaved	unspecified	unspecified	unspecified	P2: Late Classical (354–165 BCE)
*/*/Free/*/*/*	Right to retain property	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	unspecified	unspecified	free	unspecified	unspecified	unspecified	P2: Late Classical (354–165 BCE)
*/*/Free/*/*/Low	Exemption from compulsory public financing	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	unspecified	unspecified	free	unspecified	unspecified	low	P2: Late Classical (354–165 BCE)
*/*/Free/*/Resident/*	Right to citizenship	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	unspecified	unspecified	free	unspecified	resident	unspecified	P2: Late Classical (354–165 BCE)
*/*/Free/Foreign/Resident/*	Protection from capital punishment	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	unspecified	unspecified	free	foreign	resident	unspecified	P2: Late Classical (354–165 BCE)
*/*/Free/Native/*/*	Access to public honors	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	unspecified	unspecified	free	native	unspecified	unspecified	P2: Late Classical (354–165 BCE)
*/*/Free/Native/*/*	Access to the gymnasium	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	unspecified	unspecified	free	native	unspecified	unspecified	P2: Late Classical (354–165 BCE)
*/*/Free/Native/*/*	Right to a legal trial	1	0	1	6	c_sex, c_age, c_ownership_status, c_ancestry, c_residence, c_wealth	unspecified	unspecified	free	native	unspecified	unspecified	P2: Late Classical (354–165 BCE)
